Objekt,Cleaning1,Cleaning1Frequency,Cleaning1LastDate,Cleaning1NextDate,Cleaning2,Cleaning2Frequency,Cleaning2LastDate,Cleaning2NextDate,Area,Typ,MoveBothObjects,WillBeEmailed,PufNamn,Active
LT 06,Syradisk,14,2018-10-28,2018-11-11,Lutdisk,180,2018-04-22,2018-10-19,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=06,
LT 04,Syradisk,14,2018-10-22,2018-11-05,Lutdisk,180,2018-10-22,2019-04-20,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=04,
LT 07,Syradisk,14,2018-10-22,2018-11-05,Lutdisk,180,2018-09-18,2019-03-17,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=07,
Byt ut gula rengöringsverktyg (Jäskällaren),Genomförd,720,2017-01-27,2019-01-17,,,,,Jäskällaren,Sällan,FALSE,TRUE,,
LT 09,Syradisk,14,2018-08-24,2018-09-07,Lutdisk,180,2018-08-24,2019-02-20,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=09,
LT 08,Syradisk,14,2019-05-15,2019-05-29,Lutdisk,180,2018-10-01,2019-03-30,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=08,
LT 10,Syradisk,14,2018-08-12,2018-08-26,Lutdisk,180,2018-08-12,2019-02-08,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=10,
Byt ut blåa rengöringsverktyg (Jäskällaren),Genomförd,1440,2017-01-27,2021-01-06,,,,,Jäskällaren,Sällan,FALSE,TRUE,,
LT 12,Syradisk,14,2018-10-22,2018-11-05,Lutdisk,180,2018-08-14,2019-02-10,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=12,
LT 13,Syradisk,14,2018-10-09,2018-10-23,Lutdisk,180,2019-05-15,2019-11-11,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=13,
LT 14,Syradisk,14,2017-07-10,2017-07-24,Lutdisk,180,2017-07-10,2018-01-06,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=14,
LT 15,Lutdisk,90,2017-06-18,2017-09-16,,,,,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=15,
LT 16,Syradisk,14,2017-06-18,2017-07-02,Lutdisk,180,2017-06-18,2017-12-15,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=16,
LT 21,Syradisk,14,2018-10-23,2018-11-06,Lutdisk,180,2018-07-16,2019-01-12,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=21,
LT 11,Syradisk,14,2018-08-30,2018-09-13,Lutdisk,180,2018-08-30,2019-02-26,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=11,
LT 25,Syradisk,14,2018-05-19,2018-06-02,Lutdisk,180,2018-05-19,2018-11-15,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=25,
LT 22,Syradisk,14,2018-09-29,2018-10-13,Lutdisk,180,2018-09-29,2019-03-28,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=22,
LT 26,Syradisk,14,2018-10-28,2018-11-11,Lutdisk,180,2018-08-31,2019-02-27,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=26,
LT 27,Syradisk,14,2018-10-14,2018-10-28,Lutdisk,180,2018-10-14,2019-04-12,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=27,
LT 28,Syradisk,14,2018-10-22,2018-11-05,Lutdisk,180,2018-08-24,2019-02-20,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=28,
LT 23,Syradisk,14,2018-10-16,2018-10-30,Lutdisk,180,2018-10-16,2019-04-14,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=23,
LT 29,Syradisk,14,2018-10-23,2018-11-06,Lutdisk,180,2018-09-17,2019-03-16,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=29,
LT 30,Syradisk,14,2018-11-01,2018-11-15,Lutdisk,180,2018-08-10,2019-02-06,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=30,
LT 24,Syradisk,14,2018-08-21,2018-09-04,Lutdisk,180,2018-08-21,2019-02-17,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=24,
LT 32,Syradisk,14,2018-10-23,2018-11-06,Lutdisk,180,2019-05-15,2019-11-11,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=32,
LT 33,Syradisk,14,2018-10-10,2018-10-24,Lutdisk,180,2018-08-07,2019-02-03,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=33,
LT 34,Syradisk,14,2018-10-07,2018-10-21,Lutdisk,180,2018-10-07,2019-04-05,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=34,
Byt ut gula rengöringsverktyg (Jäskällaren),Genomförd,720,2017-05-07,2019-04-27,,,,,Jäskällaren,Sällan,FALSE,TRUE,SUB_OBJECT=,
