Objekt	Date	CleaningType
Filtret-Veckoavslut	2017-03-17	Lutsterilning
Stora balanssystemet (1)	2017-03-17	Lutdisk
T45	2017-03-17	Syradisk
Lilla balanssystemet (2)	2017-03-17	Lutdisk
BBT 320	2017-03-17	Lutdisk
Gur-köket	2017-03-17	Syradisk
Aldox	2017-03-17	Lutdisk
BBT 319	2017-03-19	Syradisk
BBT 305	2017-03-19	Syradisk
BBT 317	2017-03-20	Syradisk
BBT 312	2017-03-20	Syradisk
BBT 310	2017-03-20	Syradisk
BBT 325	2017-03-20	Syradisk
BBT 313	2017-03-20	Syradisk
BBT 316	2017-03-21	Syradisk
BBT 304	2017-03-21	Syradisk
BBT 308	2017-03-21	Syradisk
BBT 321	2017-03-21	Lutdisk
BBT 309	2017-03-22	Syradisk
BBT 323	2017-03-23	Syradisk
BBT 306	2017-03-23	Syradisk
BBT 318	2017-03-23	Syradisk
T34	2017-03-23	Syradisk
BBT 312	2017-03-23	Syradisk
BBT 307	2017-03-23	Syradisk
BBT 304	2017-03-24	Lutdisk
BBT 324	2017-03-24	Syradisk
BBT 320	2017-03-24	Syradisk
BBT 314	2017-03-24	Syradisk
T34	2017-03-25	Syradisk
T45	2017-03-25	Lutdisk
BBT 305	2017-03-26	Syradisk
Filtret-Veckoavslut	2017-03-26	Lutsterilning
Gamla runtkörningen	2017-03-26	Totaldisk
BBT 308	2017-03-26	Syradisk
BBT 319	2017-03-26	Syradisk
BBT 318	2017-03-27	Syradisk
BBT 325	2017-03-28	Syradisk
BBT 313	2017-03-28	Lutdisk
BBT 314	2017-03-28	Syradisk
Filtret	2017-03-28	Rengjord
301 Vattentank	2017-03-29	Lutdisk
BBT 320	2017-03-29	Lutdisk
BBT 310	2017-03-29	Syradisk
BBT 311	2017-03-29	Lutdisk
BBT 321	2017-03-29	Syradisk
T34	2017-03-30	Syradisk
Maltax	2017-03-30	Rengjord
Gamla runtkörningen	2017-03-30	Totaldisk
Vattenfilter	2017-03-31	Syradisk
BBT 305	2017-04-02	Lutdisk
BBT 307	2017-04-02	Syradisk
BBT 323	2017-04-02	Syradisk
BBT 313	2017-04-03	Syradisk
BBT 324	2017-04-03	Syradisk
BBT 314	2017-04-03	Lutdisk
BBT 309	2017-04-03	Lutdisk
BBT 312	2017-04-03	Lutdisk
BBT 320	2017-04-03	Syradisk
BBT 306	2017-04-04	Syradisk
